Temperature - (Celsius), Year, Statistics, Country, ISO3
-26.0, 1991, Jan Average, Greenland, GRL
-26.6, 1991, Feb Average, Greenland, GRL
-27.1, 1991, Mar Average, Greenland, GRL
-23.0, 1991, Apr Average, Greenland, GRL
-13.0, 1991, May Average, Greenland, GRL
-5.9, 1991, Jun Average, Greenland, GRL
-2.1, 1991, Jul Average, Greenland, GRL
-5.0, 1991, Aug Average, Greenland, GRL
-12.4, 1991, Sep Average, Greenland, GRL
-19.3, 1991, Oct Average, Greenland, GRL
-24.3, 1991, Nov Average, Greenland, GRL
-26.3, 1991, Dec Average, Greenland, GRL
-25.1, 1992, Jan Average, Greenland, GRL
-29.3, 1992, Feb Average, Greenland, GRL
-28.9, 1992, Mar Average, Greenland, GRL
-23.2, 1992, Apr Average, Greenland, GRL
-14.8, 1992, May Average, Greenland, GRL
-7.2, 1992, Jun Average, Greenland, GRL
-3.6, 1992, Jul Average, Greenland, GRL
-6.7, 1992, Aug Average, Greenland, GRL
-13.3, 1992, Sep Average, Greenland, GRL
-18.9, 1992, Oct Average, Greenland, GRL
-24.1, 1992, Nov Average, Greenland, GRL
-27.0, 1992, Dec Average, Greenland, GRL
-28.2, 1993, Jan Average, Greenland, GRL
-27.8, 1993, Feb Average, Greenland, GRL
-30.4, 1993, Mar Average, Greenland, GRL
-22.1, 1993, Apr Average, Greenland, GRL
-13.5, 1993, May Average, Greenland, GRL
-6.7, 1993, Jun Average, Greenland, GRL
-2.7, 1993, Jul Average, Greenland, GRL
-6.3, 1993, Aug Average, Greenland, GRL
-13.2, 1993, Sep Average, Greenland, GRL
-19.0, 1993, Oct Average, Greenland, GRL
-24.3, 1993, Nov Average, Greenland, GRL
-27.0, 1993, Dec Average, Greenland, GRL
-26.4, 1994, Jan Average, Greenland, GRL
-26.8, 1994, Feb Average, Greenland, GRL
-29.7, 1994, Mar Average, Greenland, GRL
-21.6, 1994, Apr Average, Greenland, GRL
-12.6, 1994, May Average, Greenland, GRL
-6.3, 1994, Jun Average, Greenland, GRL
-2.8, 1994, Jul Average, Greenland, GRL
-5.3, 1994, Aug Average, Greenland, GRL
-12.6, 1994, Sep Average, Greenland, GRL
-19.4, 1994, Oct Average, Greenland, GRL
-24.4, 1994, Nov Average, Greenland, GRL
-27.2, 1994, Dec Average, Greenland, GRL
-27.1, 1995, Jan Average, Greenland, GRL
-28.4, 1995, Feb Average, Greenland, GRL
-30.0, 1995, Mar Average, Greenland, GRL
-19.9, 1995, Apr Average, Greenland, GRL
-13.0, 1995, May Average, Greenland, GRL
-5.5, 1995, Jun Average, Greenland, GRL
-3.0, 1995, Jul Average, Greenland, GRL
-5.6, 1995, Aug Average, Greenland, GRL
-11.8, 1995, Sep Average, Greenland, GRL
-20.3, 1995, Oct Average, Greenland, GRL
-23.0, 1995, Nov Average, Greenland, GRL
-27.1, 1995, Dec Average, Greenland, GRL
-25.0, 1996, Jan Average, Greenland, GRL
-25.8, 1996, Feb Average, Greenland, GRL
-26.8, 1996, Mar Average, Greenland, GRL
-20.1, 1996, Apr Average, Greenland, GRL
-12.7, 1996, May Average, Greenland, GRL
-6.7, 1996, Jun Average, Greenland, GRL
-3.1, 1996, Jul Average, Greenland, GRL
-6.0, 1996, Aug Average, Greenland, GRL
-13.2, 1996, Sep Average, Greenland, GRL
-19.9, 1996, Oct Average, Greenland, GRL
-22.9, 1996, Nov Average, Greenland, GRL
-25.9, 1996, Dec Average, Greenland, GRL
-25.6, 1997, Jan Average, Greenland, GRL
-27.8, 1997, Feb Average, Greenland, GRL
-27.9, 1997, Mar Average, Greenland, GRL
-21.3, 1997, Apr Average, Greenland, GRL
-13.2, 1997, May Average, Greenland, GRL
-5.7, 1997, Jun Average, Greenland, GRL
-3.6, 1997, Jul Average, Greenland, GRL
-6.1, 1997, Aug Average, Greenland, GRL
-13.4, 1997, Sep Average, Greenland, GRL
-19.6, 1997, Oct Average, Greenland, GRL
-23.4, 1997, Nov Average, Greenland, GRL
-24.7, 1997, Dec Average, Greenland, GRL
-25.2, 1998, Jan Average, Greenland, GRL
-27.9, 1998, Feb Average, Greenland, GRL
-27.6, 1998, Mar Average, Greenland, GRL
-20.4, 1998, Apr Average, Greenland, GRL
